pop,ssp,ploidy,type,family,garden,year,grwvol_m,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm 
NMT-2,wyomingensis,4x,t4x,NMT-2-5,Ephraim,y11,1.410490635,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435
UTW-1,wyomingensis,4x,w4x,UTW-1-4,Majors,y12,1.409889903,9.9,23.7,-3.9,27.6,306,138,64.9,170.9,366,2594,3394,434,213,123,282,160,31,-33.4,39.7,17.2,1033,779,54,51,72,85,97,317,1548
ORT-3,tridentata,2x,t2x,ORT-3-5,Ephraim,y12,1.409036274,6.6,18,-2.6,20.6,321,115,51.9,156.4,393,1568,4213,88,172,163,262,99,66,-31.2,37.5,16.1,837,607,55,78,99,60,83,283,1038
NVT-1,tridentata,2x,t2x,NVT-1-2,Ephraim,y11,1.401799578,8.9,21.3,-1.8,23.1,265,108,71.1,197.9,289,2138,3558,243,171,150,259,109,29,-34.5,40.6,17.3,1111,888,44,68,82,59,57,233,1320
ORW-1,wyomingensis,4x,w4x,ORW-1-1,Majors,y12,1.397951654,7.7,20.1,-3.7,23.9,295,86,60.2,233.3,411,1938,3905,185,171,153,255,102,69,-33.7,40.3,16.1,956,779,49,105,74,47,69,334,1231
UTW-2,wyomingensis,4x,w4x,UTW-2-8,Majors,y12,1.396617916,8.5,22.4,-4.5,26.9,263,127,70.1,176.6,440,2227,3771,313,193,136,270,134,37,-34,40.2,15.9,975,760,52,48,85,70,60,371,1402
ORW-3,tridentata,2x,t2x,ORW-3-3,Ephraim,y12,1.395306614,7.8,18.2,-1.5,19.7,286,97,62.3,187.8,278,1763,3781,101,172,161,253,92,37,-30.5,39.1,15,954,747,49,86,71,57,72,215,1081
AZT-1,wyomingensis,4x,t4x,AZT-1-3,Majors,y12,1.390420775,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
NVT-2,tridentata,2x,t2x,NVT-2-6,Majors,y12,1.38723226,8.9,21.6,-2.3,24,239,101,79.1,215,328,2222,3584,277,188,144,272,128,29,-34.1,39.9,18,1069,864,48,54,65,56,64,266,1366
AZT-1,wyomingensis,4x,t4x,AZT-1-9,Ephraim,y11,1.367275209,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
