,pop,ssp,garden,grw_log,grwvol_m,grw_sd,grw.fitted,grw.hat,grw.fixed,grw.mu,seed_log,weight,seed.fitted,seed.hat,seed.fixed,seed.mu
ORT1,ORT-1,t,Orchard,0.549298962,0.675045323,0.257074329,0.584385278,0.092896392,1.029093676,0.584385278,5.179108877,18.2348,6.061415565,0.348116256,8.008594385,6.061415565
ORT2,ORT-2,t,Orchard,1.307828938,1.838246728,0.289634724,1.317180197,0.092979599,1.43570456,1.317180197,5.56529117,15.86395,6.327176241,0.348116256,8.008594385,6.327176241
ORT3,ORT-3,t,Orchard,0.220269383,0.251352629,0.154213197,0.272627744,0.093051501,0.93625406,0.272627744,3.59922404,13.17073333,4.6221902,0.258230876,8.008594385,4.6221902
ORW1,ORW-1,w,Orchard,0.071581334,0.074036239,0.037257959,0.10974149,0.211314612,0.303208845,0.10974149,0.038443778,0.0392,1.090085721,0.348109706,3.410973623,1.090085721
ORW2,ORW-2,t,Orchard,0.355746238,0.443024092,0.299816635,0.410564924,0.102427003,1.035894102,0.410564924,5.728730236,42.4767,6.439650783,0.348116256,8.008594385,6.439650783
ORW3,ORW-3,t,Orchard,0.580975767,0.703801368,0.223983913,0.762862311,0.360604346,1.223933651,0.762862311,6.729394764,24.8091,7.128282258,0.348116256,8.008594385,7.128282258
UTT1,UTT-1,t,Orchard,0.427570596,0.529606004,0.279494225,0.467600749,0.092936598,0.974970791,0.467600749,1.198388901,1.5662,3.321986929,0.348116256,8.008594385,3.321986929
UTT2,UTT-2,t,Orchard,0.587042089,0.702060339,0.175258077,0.637635093,0.092952677,1.278886042,0.637635093,1.210452806,1.87895,3.330288997,0.348116256,8.008594385,3.330288997
UTT3,UTT-3,t,Orchard,0.766766667,0.994859522,0.284689704,0.828931084,0.128822013,1.380471648,0.828931084,0.000932561,0.000933333,1.858696012,0.258230876,8.008594385,1.858696012
UTV2,UTV-2,w,Orchard,0.255491312,0.306903536,0.203848317,0.262826927,0.102586255,0.346505947,0.262826927,0.469435772,0.60209,1.386683276,0.348109706,3.410973623,1.386683276
WAT1,WAT-1,t,Orchard,0.907549229,1.224104434,0.355330806,0.941392168,0.092904212,1.370341139,0.941392168,11.61574744,84.32152,10.49094392,0.348116256,8.008594385,10.49094392
WAT2,WAT-2,w,Orchard,0.315044152,0.378000916,0.236852976,0.360781604,0.128849877,0.766577422,0.360781604,2.439874499,3.96755,2.742688296,0.348109706,3.410973623,2.742688296
WYW2,WYW-2,w,Orchard,0.026375413,0.035441773,0.102664743,0.100171946,0.270197589,0.380776538,0.100171946,0.216027878,0.245,1.21229451,0.348109706,3.410973623,1.21229451
